KEY,06-26-2018,09-13-2018,02-26-2019,06-25-2019,under_30,under_60,new_voter,four_x,four_x_under_30,four_x_under_60,skipped_patel,age_in_02-26-2019,age_in_06-25-2019,age_in_09-13-2018,age_in_06-26-2018
66037,78,107,90,0,19,82,0,0,0,0,44,49.19811111111111,,50.79037383177572,50.32384615384615
66038,71,96,67,0,8,54,0,0,0,0,37,60.892089552238815,,60.12927083333333,59.420140845070435
66039,46,72,58,0,23,54,0,0,0,0,32,51.16379310344827,,51.350555555555545,45.385
66043,48,58,42,0,8,45,0,0,0,0,20,53.02214285714287,,57.0089655172414,55.88479166666665
66048,65,88,59,0,10,41,0,0,0,0,29,63.33389830508474,,61.54420454545452,60.473076923076924
66049,69,118,85,0,12,47,0,0,0,0,60,63.41752941176469,,61.72457627118645,59.75579710144927
66050,73,125,92,0,9,58,0,0,0,0,58,63.3916304347826,,62.40759999999999,61.68835616438358
66051,102,164,109,0,8,60,0,0,0,0,74,65.84899082568808,,66.53207317073169,65.55147058823533
66052,122,174,126,0,9,68,0,0,0,0,62,63.7286507936508,,64.61396551724141,63.077868852459
66053,118,173,115,0,6,72,0,0,0,0,70,61.9733913043478,,63.81369942196532,63.2272033898305
66054,89,127,109,0,14,73,0,0,0,0,58,60.05009174311926,,61.97677165354328,59.17438202247192
66055,76,113,75,0,8,62,0,0,0,0,48,59.02280000000001,,59.139380530973455,53.34828947368421
66056,82,97,68,0,12,78,0,0,0,0,36,55.95073529411764,,56.05556701030926,52.58329268292685
66057,87,123,88,0,13,60,0,0,0,0,45,62.63454545454545,,60.89186991869918,58.47471264367816
66101,68,77,52,0,13,63,0,0,0,0,24,52.23480769230768,,51.13506493506493,51.88617647058824
66102,72,102,64,9,13,64,2,4,1,3,39,53.23093750000001,46.675555555555555,56.92127450980392,55.705277777777766
66103,64,71,43,1,10,50,0,1,0,0,16,56.43511627906978,77.73,55.91211267605634,53.74171875000002
66104,24,29,20,0,4,27,0,0,0,0,11,50.539500000000004,,51.455172413793115,53.675416666666656
66106,53,61,37,0,4,42,0,0,0,0,16,56.41621621621622,,57.30868852459017,53.71301886792452
67009,37,64,34,0,3,46,0,0,0,0,36,56.82617647058823,,58.97171875000001,56.47945945945944
67011,31,44,35,0,6,25,0,0,0,0,17,57.00085714285716,,60.314772727272725,60.06903225806451
67012,16,28,23,0,2,29,0,0,0,0,17,43.42173913043478,,46.76642857142856,53.900000000000006
68001,86,134,90,49,7,71,0,20,0,6,68,61.198777777777764,63.416530612244884,62.083880597014925,59.94988372093025
68002,83,130,100,34,12,82,4,10,0,1,65,60.67210000000002,66.66235294117647,60.936230769230804,59.99722891566265
68003,52,77,52,9,15,63,1,4,0,2,33,51.65615384615384,59.04555555555555,56.197012987012975,54.92365384615384
68004,80,102,74,9,10,71,0,8,0,4,32,51.88324324324325,55.74444444444444,54.64637254901963,53.154125
68005,78,93,60,13,13,59,1,5,0,3,25,54.92099999999998,49.97692307692308,50.70494623655915,47.796410256410255
68006,44,58,42,9,12,38,1,1,0,0,23,55.805238095238096,54.04666666666666,59.235517241379284,60.46499999999999
68007,57,59,34,3,9,36,0,2,0,1,17,58.31676470588235,44.43666666666667,58.59847457627118,56.63666666666666
68008,81,116,80,2,9,51,0,1,0,0,49,64.82537499999998,76.65,65.7450862068965,64.62296296296294
68009,62,94,62,2,11,49,1,0,0,0,48,63.598387096774196,58.165,63.23925531914895,55.90129032258064
68010,66,94,54,4,9,44,1,1,0,1,42,60.95592592592593,44.2525,61.6559574468085,60.76712121212119
68011,68,105,74,1,8,58,1,0,0,0,49,62.076351351351356,55.9,62.66580952380956,59.381470588235295
68012,22,26,21,1,12,25,0,1,0,1,10,44.26095238095238,52.27,51.09961538461538,44.13136363636364
68013,24,37,26,7,5,22,2,1,0,0,18,53.50076923076924,63.55571428571428,56.9962162162162,51.16333333333333
68014,41,44,28,3,15,49,0,2,0,1,10,39.49142857142857,54.51666666666667,40.142500000000005,37.93365853658536
68015,59,79,50,5,7,55,1,3,0,1,34,57.1174,63.81200000000001,57.30240506329113,53.23644067796608
68094,6,9,10,10,2,13,1,2,0,2,5,49.539,46.048,51.53222222222223,57.95166666666666
68111,42,55,33,2,7,22,0,2,0,0,22,59.574242424242435,66.17,65.4478181818182,69.22285714285717
68112,91,109,73,12,9,79,2,6,0,2,34,52.04465753424658,55.6575,52.04981651376147,52.811428571428586
73001,35,56,30,9,4,30,1,2,0,0,24,58.85533333333332,49.66666666666666,58.26714285714288,58.315714285714286
73002,33,39,25,8,2,31,0,4,0,4,10,56.52719999999999,59.291250000000005,56.66948717948719,50.19878787878788
73003,99,126,87,30,13,71,0,21,0,3,45,63.72436781609197,68.115,61.60253968253967,58.22373737373737
73004,43,68,43,0,4,34,0,0,0,0,27,60.62511627906975,,59.41632352941176,58.45906976744187
73005,62,77,50,0,0,35,0,0,0,0,25,63.52539999999999,,62.976493506493505,61.86564516129032
73006,39,74,53,0,3,46,0,0,0,0,40,57.044905660377324,,57.7741891891892,55.28076923076922
73007,46,58,36,0,3,26,0,0,0,0,19,61.775000000000006,,65.40551724137931,67.80891304347826
73008,3,6,3,0,2,8,0,0,0,0,4,34.730000000000004,,51.335,56.72666666666667
73009,83,112,72,16,6,69,0,9,0,2,40,58.174305555555556,61.83374999999999,58.38526785714287,56.57843373493975
73010,112,142,91,30,12,92,2,17,0,5,47,59.293516483516505,61.058333333333344,57.97471830985916,58.3188392857143
73011,56,68,43,26,7,43,2,8,0,4,23,58.731162790697674,56.62153846153847,57.51911764705883,55.09732142857144
73012,26,30,22,1,4,25,0,1,0,1,11,51.650000000000006,52.72,52.656,54.20923076923077
73013,75,93,41,0,4,35,0,0,0,0,32,64.51146341463414,,66.18365591397847,66.8656
73014,17,21,18,5,7,18,0,3,0,0,8,49.80777777777777,67.902,50.895238095238106,44.821176470588235
73015,17,24,17,9,1,16,2,2,0,0,9,60.277058823529416,65.62888888888888,56.575416666666676,58.96764705882352
73016,36,45,28,11,4,27,0,6,0,1,21,61.811428571428564,65.32363636363635,64.09066666666666,63.90083333333334
73017,67,79,46,0,7,39,0,0,0,0,21,61.12891304347827,,61.00101265822785,58.946119402985055
73018,52,62,36,3,3,25,0,2,0,0,21,63.90527777777778,79.31666666666666,65.42774193548388,65.28557692307693
73019,40,52,30,2,2,34,0,1,0,0,20,57.20066666666667,67.195,51.68269230769231,58.190750000000016
73020,2,2,1,0,1,1,0,0,0,0,0,28.59,,51.04,50.825
73021,69,100,48,7,3,41,1,0,0,0,42,66.23499999999999,65.28571428571429,65.82169999999998,64.18072463768118
73022,60,73,52,6,6,41,2,0,0,0,29,58.37615384615386,69.23166666666667,62.24712328767124,62.58449999999997
73023,67,81,58,3,9,47,0,3,0,0,31,58.10362068965516,88.35000000000001,62.1472839506173,59.8437313432836
73024,121,163,103,0,7,72,0,0,0,0,62,66.07990291262135,,67.39349693251533,66.41297520661159
73025,83,108,45,16,7,42,1,6,0,3,42,61.98,55.66250000000001,66.59148148148145,64.5727710843373
73026,94,131,73,39,5,34,4,14,0,3,48,68.92068493150683,69.49230769230769,68.7821374045802,67.99500000000003
73027,55,84,46,10,2,26,2,3,0,2,38,66.98260869565216,69.785,68.44892857142857,67.35927272727272
73028,83,111,57,21,12,56,0,11,0,1,41,60.857017543859655,71.78952380952381,62.66837837837839,62.757710843373495
